File Name,Ticker,Earnings Date and Time,closing_price_next_day,closing_price_previous_day,price_7_days_before,price_15_days_before,perc_change_next_prev,perc_change_prev_7,perc_change_7_15
AAPLQ32023,AAPL,"August 3, 2023 at 5:00 PM ET",181.27415466308594,190.41802978515625,192.85838317871094,189.79049682617188,-4.8,-1.27,1.62
AAPLQ42014,AAPL,"October 20, 2014 at 5:00 PM ET",22.803178787231445,22.200109481811523,22.48050308227539,22.277996063232422,2.72,-1.25,0.91
AAPLQ42015,AAPL,"October 27, 2015 at 5:00 PM ET",26.995494842529297,25.927169799804688,25.132720947265625,25.193828582763672,4.12,3.16,-0.24
AAPLQ42016,AAPL,"October 25, 2016 at 5:00 PM ET",26.721942901611328,27.33687973022461,27.19355010986328,26.123186111450195,-2.25,0.53,4.1
AAPLQ42017,AAPL,"November 2, 2017 at 5:00 PM ET",40.581764221191406,39.54897689819336,36.958805084228516,36.700035095214844,2.61,7.01,0.71
AAPLQ42018,AAPL,"November 1, 2018 at 5:00 PM ET",49.54905700683594,53.069175720214844,53.19096374511719,51.21358871459961,-6.63,-0.23,3.86
AAPLQ42019,AAPL,"October 30, 2019 at 5:00 PM ET",60.329158782958984,58.99528884887695,58.328365325927734,55.0592041015625,2.26,1.14,5.94
AAPLQ42020,AAPL,"October 29, 2020 at 5:00 PM ET",106.65046691894531,112.9793472290039,115.12492370605469,112.63645935058594,-5.6,-1.86,2.21
AAPLQ42021,AAPL,"October 28, 2021 at 5:00 PM ET",147.70346069335938,150.43467712402344,146.677978515625,141.28456115722656,-1.82,2.56,3.82
AAPLQ42022,AAPL,"October 27, 2022 at 5:00 PM ET",154.42079162597656,143.57347106933594,142.53236389160156,144.1981201171875,7.56,0.73,-1.16
AAPLQ42023,AAPL,"November 2, 2023 at 5:00 PM ET",176.19273376464844,177.11038208007812,172.99105834960938,180.24224853515625,-0.52,2.38,-4.02
ABBVQ12017,ABBV,"April 27, 2017 at 9:00 AM ET",48.62934112548828,47.87123489379883,46.84815979003906,47.42881393432617,1.58,2.18,-1.22
ABBVQ12018,ABBV,"April 26, 2018 at 9:00 AM ET",74.15089416503906,69.91218566894531,71.22107696533203,69.4515151977539,6.06,-1.84,2.55
ABBVQ12019,ABBV,"April 25, 2019 at 9:00 AM ET",63.22956085205078,62.69560241699219,63.922889709472656,65.13137817382812,0.85,-1.92,-1.86
ABBVQ12020,ABBV,"May 1, 2020 at 9:00 AM ET",69.94954681396484,69.40914154052734,68.7927474975586,66.35082244873047,0.78,0.9,3.68
ABBVQ12021,ABBV,"April 30, 2021 at 9:00 AM ET",98.91476440429688,98.37361907958984,98.29377746582031,94.25572204589844,0.55,0.08,4.28
ABBVQ12022,ABBV,"April 29, 2022 at 9:00 AM ET",135.88018798828125,144.60397338867188,144.96478271484375,160.49325561523438,-6.03,-0.25,-9.68
ABBVQ12023,ABBV,"April 27, 2023 at 9:00 AM ET",143.0628204345703,155.48846435546875,153.36465454101562,153.83303833007812,-7.99,1.38,-0.3
ABBVQ22017,ABBV,"July 28, 2017 at 9:00 AM ET",52.311805725097656,53.26982116699219,54.04216766357422,53.016048431396484,-1.8,-1.43,1.94
ABBVQ22018,ABBV,"July 27, 2018 at 9:00 AM ET",69.61910247802734,72.21751403808594,72.5711441040039,73.75516510009766,-3.6,-0.49,-1.61
ABBVQ22019,ABBV,"July 26, 2019 at 9:00 AM ET",54.824378967285156,53.93437957763672,55.27748107910156,58.1689453125,1.65,-2.43,-4.97
ABBVQ22020,ABBV,"July 31, 2020 at 9:00 AM ET",81.11953735351562,82.0853271484375,83.5041275024414,81.76262664794922,-1.18,-1.7,2.13
ABBVQ22021,ABBV,"July 30, 2021 at 9:00 AM ET",104.32318878173828,106.62852478027344,104.94212341308594,103.42138671875,-2.16,1.61,1.47
ABBVQ22022,ABBV,"July 29, 2022 at 9:00 AM ET",134.00440979003906,139.83111572265625,137.9075469970703,141.40310668945312,-4.17,1.39,-2.47
ABBVQ22023,ABBV,"July 27, 2023 at 9:00 AM ET",144.62942504882812,137.87646484375,132.70733642578125,131.8961181640625,4.9,3.9,0.62
ABBVQ32017,ABBV,"October 27, 2017 at 9:00 AM ET",68.74747467041016,66.97514343261719,71.821044921875,67.20179748535156,2.65,-6.75,6.87
ABBVQ32018,ABBV,"November 2, 2018 at 9:00 AM ET",61.81700897216797,62.322044372558594,61.70047378540039,70.46487426757812,-0.81,1.01,-12.44
ABBVQ32019,ABBV,"November 1, 2019 at 9:00 AM ET",67.10812377929688,65.30216217041016,63.82453918457031,60.44245529174805,2.77,2.32,5.6
ABBVQ32020,ABBV,"October 30, 2020 at 9:00 AM ET",73.72541046142578,69.88754272460938,71.81082153320312,74.9571304321289,5.49,-2.68,-4.2
ABBVQ32021,ABBV,"October 29, 2021 at 9:00 AM ET",104.10807037353516,99.56861114501953,98.42467498779297,99.73046112060547,4.56,1.16,-1.31
ABBVQ32022,ABBV,"October 28, 2022 at 9:00 AM ET",139.23536682128906,144.7911834716797,135.009521484375,129.5690155029297,-3.84,7.25,4.2
ABBVQ32023,ABBV,"October 27, 2023 at 9:00 AM ET",136.3418731689453,142.4950714111328,146.4990692138672,144.03671264648438,-4.32,-2.73,1.71
ABBVQ42016,ABBV,"January 27, 2017 at 9:00 AM ET",43.72663497924805,44.65217590332031,44.9364013671875,46.02432632446289,-2.07,-0.63,-2.36
ABBVQ42017,ABBV,"January 26, 2018 at 9:00 AM ET",92.80038452148438,81.57032775878906,78.60277557373047,75.61251831054688,13.77,3.78,3.95
ABBVQ42018,ABBV,"January 25, 2019 at 9:00 AM ET",63.345985412597656,67.54597473144531,67.28643798828125,69.20614624023438,-6.22,0.39,-2.77
ABBVQ42019,ABBV,"February 7, 2020 at 9:00 AM ET",76.7839126586914,72.53246307373047,69.22118377685547,73.21469116210938,5.86,4.78,-5.45
ABBVQ42020,ABBV,"February 3, 2021 at 9:00 AM ET",93.73860931396484,90.6884994506836,96.85008239746094,97.41978454589844,3.36,-6.36,-0.58
ABBVQ42021,ABBV,"February 2, 2022 at 9:00 AM ET",127.1580581665039,125.6720199584961,121.23222351074219,124.64461517333984,1.18,3.66,-2.74
ABBVQ42022,ABBV,"February 9, 2023 at 9:00 AM ET",141.5968475341797,137.7022247314453,140.69223022460938,141.6063995361328,2.83,-2.13,-0.65
ABBVQ42023,ABBV,"February 2, 2024 at 9:00 AM ET",167.10935974121094,166.0393524169922,162.70053100585938,160.89736938476562,0.64,2.05,1.12
ABTQ12015,ABT,"April 22, 2015 at 9:00 AM ET",40.78264236450195,39.745155334472656,39.24748992919922,38.51063919067383,2.61,1.27,1.91
ABTQ12016,ABT,"April 20, 2016 at 9:00 AM ET",37.95069122314453,37.84712219238281,36.442039489746094,35.73002243041992,0.27,3.86,1.99
ABTQ12017,ABT,"April 19, 2017 at 9:00 AM ET",38.5756950378418,38.43410110473633,38.34117126464844,39.29112243652344,0.37,0.24,-2.42
ABTQ12018,ABT,"April 18, 2018 at 9:00 AM ET",53.7357292175293,53.988521575927734,52.310279846191406,53.21774673461914,-0.47,3.21,-1.71
ABTQ12019,ABT,"April 17, 2019 at 9:00 AM ET",66.94548797607422,70.16048431396484,71.83226013183594,72.02436828613281,-4.58,-2.33,-0.27
ABTQ12020,ABT,"April 16, 2020 at 9:00 AM ET",89.62120819091797,84.89742279052734,76.16537475585938,70.47595977783203,5.56,11.46,8.07
